Team,Continent,Summer,Winter,Total,Participants
China,Asia,783,80,863,4167
Netherlands,Europe,436,80,516,2317
United States of America,Americas,1817,364,2181,7332
Finland,Europe,29,235,264,1552
Norway,Europe,154,233,387,1853
Romania,Europe,230,0,230,1805
France,Europe,482,100,582,4497
Estonia,Europe,18,7,25,732
Morocco,Africa,17,0,17,392
Spain,Europe,385,1,386,3052
Egypt,Africa,11,0,11,708
Italy,Europe,467,135,602,4537
Chad,Africa,0,0,0,21
Azerbaijan,Asia,44,0,44,283
Russia,Europe,888,260,1148,4862
Argentina,Americas,183,0,183,1356
Cuba,Americas,323,0,323,1254
Belarus,Europe,124,15,139,1787
Greece,Europe,76,0,76,1432
Cameroon,Africa,20,0,20,177
Turkey,Asia,48,0,48,626
Mexico,Americas,45,0,45,888
Chile,Americas,22,0,22,321
Nicaragua,Americas,0,0,0,67
Hungary,Europe,256,0,256,2044
Algeria,Africa,15,0,15,387
Bahrain,Asia,3,0,3,96
Pakistan,Asia,16,0,16,157
Iraq,Asia,0,0,0,71
Qatar,Asia,5,0,5,153
Iran,Asia,38,0,38,332
Canada,Americas,301,441,742,4601
Ireland,Europe,18,0,18,582
Australia,Oceania,874,15,889,4269
South Africa,Africa,56,0,56,1041
Eritrea,Africa,1,0,1,43
Libya,Africa,0,0,0,38
Sudan,Africa,1,0,1,39
Belgium,Europe,48,1,49,800
Djibouti,Africa,0,0,0,29
Palestine,Oceania,0,0,0,21
Comoros,Africa,0,0,0,19
Kazakhstan,Asia,70,7,77,1429
Brunei,Asia,0,0,0,10
Kuwait,Oceania,2,0,2,125
Malaysia,Asia,16,0,16,288
United Arab Emirates,Asia,2,0,2,97
Indonesia,Asia,38,0,38,268
Singapore,Asia,8,0,8,221
Uzbekistan,Asia,33,1,34,495
Kyrgyzstan,Oceania,3,0,3,227
Tajikistan,Asia,4,0,4,70
Unified Team,Europe,220,59,279,864
Japan,Asia,425,56,481,4129
Ethiopia,Africa,43,0,43,200
Germany,Europe,938,327,1265,5685
Sweden,Europe,167,197,364,2440
United States of America Virgin Islands,Americas,0,0,0,141
Sri Lanka,Asia,1,0,1,86
Armenia,Asia,16,0,16,221
Cote d'Ivoire,Americas,2,0,2,101
Kenya,Africa,69,0,69,396
Nigeria,Africa,92,0,92,559
Brazil,Americas,352,0,352,2329
Ukraine,Europe,188,11,199,2559
Ghana,Africa,20,0,20,170
Latvia,Oceania,17,15,32,788
Syria,Europe,2,0,2,55
Lebanon,Oceania,0,0,0,82
Mali,Africa,0,0,0,65
Switzerland,Europe,59,124,183,2123
India,Asia,14,0,14,574
Georgia,Asia,32,0,32,286
Slovenia,Europe,30,18,48,1111
Croatia,Europe,138,11,149,876
Guyana,Americas,0,0,0,41
Portugal,Europe,13,0,13,703
Bulgaria,Europe,82,5,87,1236
Poland,Europe,152,23,175,2431
Angola,Africa,0,0,0,217
Venezuela,Oceania,7,0,7,521
Colombia,Americas,22,0,22,617
Bangladesh,Asia,0,0,0,42
Jordan,Asia,1,0,1,50
Somalia,Africa,0,0,0,14
Saudi Arabia,Asia,6,0,6,142
Puerto Rico,Americas,5,0,5,401
United Kingdom,Asia,539,25,564,3723
Uganda,Africa,2,0,2,95
Tunisia,Africa,8,0,8,359
Honduras,Americas,0,0,0,136
El Salvador,Americas,0,0,0,70
Turkmenistan,Asia,0,0,0,54
Mauritius,Africa,1,0,1,126
Seychelles,Africa,0,0,0,75
Czechoslovakia,Europe,8,27,35,417
Czechia,Europe,71,73,144,1874
Niger,Africa,1,0,1,30
Saint Kitts and Nevis,Americas,0,0,0,42
New Zealand,Oceania,112,1,113,1411
Liberia,Oceania,0,0,0,29
Suriname,Americas,1,0,1,44
Nepal,Asia,0,0,0,44
